Saison	Kalenderwoche	Bundesland	Bundesland_ID	Altersgruppe	ARE_Konsultationsinzidenz
2013/14	2014-W18	Bundesweit	0	15-34	607
2013/14	2014-W18	Bundesweit	0	60+	265
2013/14	2014-W18	Bundesweit	0	35-59	456
2013/14	2014-W19	Bundesweit	0	00+	734
2013/14	2014-W19	Bundesweit	0	0-4	3132
2013/14	2014-W19	Bundesweit	0	5-14	977
2013/14	2014-W19	Bundesweit	0	15-34	912
2013/14	2014-W19	Bundesweit	0	60+	287
2013/14	2014-W19	Bundesweit	0	35-59	618
2013/14	2014-W20	Bundesweit	0	00+	682
2013/14	2014-W20	Bundesweit	0	0-4	3070
2013/14	2014-W20	Bundesweit	0	5-14	1092
2013/14	2014-W20	Bundesweit	0	15-34	812
2013/14	2014-W20	Bundesweit	0	60+	259
2013/14	2014-W20	Bundesweit	0	35-59	538
2013/14	2014-W21	Bundesweit	0	00+	717
2013/14	2014-W21	Bundesweit	0	0-4	3232
2013/14	2014-W21	Bundesweit	0	5-14	1154
2013/14	2014-W21	Bundesweit	0	15-34	857
2013/14	2014-W21	Bundesweit	0	60+	268
2013/14	2014-W21	Bundesweit	0	35-59	566
2013/14	2014-W22	Bundesweit	0	00+	570
2013/14	2014-W22	Bundesweit	0	0-4	2645
2013/14	2014-W22	Bundesweit	0	5-14	953
2013/14	2014-W22	Bundesweit	0	15-34	689
2013/14	2014-W22	Bundesweit	0	60+	201
2013/14	2014-W22	Bundesweit	0	35-59	437
2013/14	2014-W23	Bundesweit	0	00+	795
2013/14	2014-W23	Bundesweit	0	0-4	3172
